,,union belen,,union belen bus,,golomtbank,,tdbm,,khanbank,,mongolbank,,,
,,avah,zarah,avah,zarah,avah,zarah,avah,zarah,avah,zarah,avah,,,
USA,3,2500.00,2674.00,2671.00,2674.00,2668.00,2677.00,2669.00,2676.00,2669.00,2676.00,2671.81,,,
EUR,4,2930.00,2945.00,2930.00,2945.00,2906.00,2972.00,2911.00,2959.00,2900.00,2958.00,2934.32,,,
CNY,5,371.00,373.00,-,,370.00,374.50,371.00,373.70,370.40,374.70,372.70,,,
RUB,6,40.00,40.50,-,,39.49,42.24,39.50,40.80,38.90,40.80,40.10,,,
KRW,11,2.15,2.19,-,,2.16,2.24,2.14,2.23,2.14,2.24,2.21,,,
JPY,7,24.85,25.20,-,,24.90,25.40,24.89,25.34,24.86,25.27,25.15,,,
GBP,8,3230.00,3280.00,-,-,3220.00,3284.00,3210.00,3279.00,3188.00,3262.00,3240.64,,,














,,,,,,,,,,,,,,, 
